GAME_ID,GAME_DATE,HOME_TEAM_ID,AWAY_TEAM_ID,HOME_SCORE,AWAY_SCORE
22401093,2025-03-31,1610612763,1610612738,103,117
22401092,2025-03-31,1610612764,1610612748,94,120
22401096,2025-03-31,1610612747,1610612745,104,98
22401090,2025-03-31,1610612754,1610612758,111,109
22401082,2025-03-30,1610612752,1610612757,110,93
22401081,2025-03-30,1610612739,1610612746,127,122
22401086,2025-03-30,1610612759,1610612744,106,148
22401084,2025-03-30,1610612750,1610612765,123,104
22401085,2025-03-30,1610612740,1610612766,98,94
22401087,2025-03-30,1610612755,1610612761,109,127
22401083,2025-03-30,1610612749,1610612737,124,145
22401088,2025-03-30,1610612756,1610612745,109,148
22401074,2025-03-29,1610612753,1610612758,121,91
22401079,2025-03-29,1610612760,1610612754,132,111
22401078,2025-03-29,1610612763,1610612747,127,134
22401075,2025-03-29,1610612764,1610612751,112,115
22401077,2025-03-29,1610612741,1610612742,119,120
22401080,2025-03-29,1610612759,1610612738,111,121
22401076,2025-03-29,1610612755,1610612748,95,118
22401071,2025-03-28,1610612750,1610612756,124,109
22401073,2025-03-28,1610612743,1610612762,129,93
22401069,2025-03-28,1610612761,1610612766,108,97
22401072,2025-03-28,1610612740,1610612744,95,111
22401067,2025-03-28,1610612765,1610612739,133,122
22401068,2025-03-28,1610612751,1610612746,100,132
22401070,2025-03-28,1610612749,1610612752,107,116
22401059,2025-03-27,1610612739,1610612759,124,116
22401063,2025-03-27,1610612741,1610612747,119,117
22401064,2025-03-27,1610612760,1610612763,125,104
22401065,2025-03-27,1610612762,1610612745,110,121
22401060,2025-03-27,1610612753,1610612742,92,101
22401062,2025-03-27,1610612748,1610612737,122,112
22401066,2025-03-27,1610612758,1610612757,128,107
22401061,2025-03-27,1610612764,1610612754,109,162
22401058,2025-03-26,1610612756,1610612738,102,132
22401054,2025-03-26,1610612751,1610612761,86,116
22401055,2025-03-26,1610612754,1610612747,119,120
22401057,2025-03-26,1610612743,1610612749,127,117
22401053,2025-03-26,1610612755,1610612764,114,119
